,page_path,hashstring,duplicate_pages,file_name
35,/Users/heatherwei/Downloads/test_files2/images/__X.pdf/X00001-1.jpg,5d960d76d7ff3fe63aac9be8d781a533,['/Users/heatherwei/Downloads/test_files2/images/__Z.pdf/Z20001-1.jpg'],__X.pdf
36,/Users/heatherwei/Downloads/test_files2/images/__Z.pdf/Z20001-1.jpg,5d960d76d7ff3fe63aac9be8d781a533,['/Users/heatherwei/Downloads/test_files2/images/__X.pdf/X00001-1.jpg'],__Z.pdf
37,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-06.jpg,d6a25ccf0d2aab24055262588035f995,,FOLDER 5__V.pdf
38,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-12.jpg,3d20b27ea6a8d432d78ec7823556e6f6,,FOLDER 5__V.pdf
39,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-13.jpg,b11b3896d1a27c90b38256b41950f761,,FOLDER 5__V.pdf
40,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-07.jpg,e91015ed3586cd9a811711aba4ac5400,,FOLDER 5__V.pdf
41,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-11.jpg,3839453f762a59520456934cd1f165f7,,FOLDER 5__V.pdf
42,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-05.jpg,8d6d410c9bda1e9dc166033175163d83,,FOLDER 5__V.pdf
43,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-04.jpg,99fd768b86ac8dcdaffbcaa796d91e42,,FOLDER 5__V.pdf
44,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-10.jpg,293e45e4340d559c81d5b8a066f72515,,FOLDER 5__V.pdf
45,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-14.jpg,24efc565658e59427003f3b40a945cdd,,FOLDER 5__V.pdf
46,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-01.jpg,6de4144c9a94a410dfb16e98e1186b76,,FOLDER 5__V.pdf
47,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-15.jpg,899c02572adb775ccf1331cf6226f6c8,,FOLDER 5__V.pdf
48,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-03.jpg,f2d954d98613943da5daa3babf4afeb7,,FOLDER 5__V.pdf
49,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-17.jpg,9afd678af99b84c8e830631d87d16fa0,,FOLDER 5__V.pdf
50,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-16.jpg,9b0b61c8036e107d12ee925d4daebdef,,FOLDER 5__V.pdf
51,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-02.jpg,31dc38f94238e12943398c8e68fe21be,,FOLDER 5__V.pdf
52,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-09.jpg,1cad1c5b0c673591bf417c5d3b66287d,,FOLDER 5__V.pdf
53,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-08.jpg,559334fa11c344eca0353950ea13ba72,,FOLDER 5__V.pdf
