hashstring,page_path,pages,number_of_duplicates,representative_page
5d1b56978e36b8156dd0893e5fa93658,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__FOLDER 7__W.pdf/W00001-1.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__FOLDER 7__W.pdf/W00001-1.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__FOLDER 7__W.pdf/W00001-1.jpg
5d960d76d7ff3fe63aac9be8d781a533,/Users/heatherwei/Downloads/test_files2/images/__X.pdf/X00001-1.jpg+/Users/heatherwei/Downloads/test_files2/images/__Z.pdf/Z20001-1.jpg,"['/Users/heatherwei/Downloads/test_files2/images/__X.pdf/X00001-1.jpg', '/Users/heatherwei/Downloads/test_files2/images/__Z.pdf/Z20001-1.jpg']",2,/Users/heatherwei/Downloads/test_files2/images/__X.pdf/X00001-1.jpg
64e9d12c89279766cb6dd5a1fef2b326,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-29.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-29.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-29.jpg
6ac7735d3f286ee30efb45481c5f544a,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-08.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-08.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-08.jpg
6de3d01adb7868e4d2b9342aeab41603,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-12.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-12.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-12.jpg
6de4144c9a94a410dfb16e98e1186b76,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-01.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-01.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-01.jpg
724d62efad98d052aa4567519c12b852,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-13.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-13.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-13.jpg
899c02572adb775ccf1331cf6226f6c8,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-15.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-15.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-15.jpg
8ba028608037989c1b717c98728f840f,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-23.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-23.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-23.jpg
8d6d410c9bda1e9dc166033175163d83,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-05.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-05.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-05.jpg
928d1ffda89b72e49f18703511b685d7,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-33.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-33.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-33.jpg
974f7ab874fcb5478b439e0833e46766,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-11.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-11.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-11.jpg
